Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT3G44260	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	4	0		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G49730	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-6	7.12E-67		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G74670	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-5.2	1.11E-44		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G42560	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-5.2	2.25E-17		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G68190	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-5.1	2.48E-32		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G52100	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-5	1.14E-82		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G18600	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-5	1.42E-68		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G22990	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.9	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G49740	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.9	1.52E-54		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G40610	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.8	1.19E-78		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G13650	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.8	1.81E-46		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G49500	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.7	1.81E-43		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G20820	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.7	1.21E-30		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G07350	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.7	8.14E-17		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G29300	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.7	1.02E-14		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G22920	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.6	4.78E-33		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G22980	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.5	1.23E-19		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G54940	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.5	1.26E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G23510	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.4	5.31E-24		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G27690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G05540	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	6.29E-113		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G80920	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	3.99E-96		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G34620	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	3.07E-47		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G10250	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	1.50E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G25580	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.3	1.90E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G24160	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.2	1.59E-69		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G29290	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.2	1.79E-33		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G57785	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.2	2.53E-20		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G18990	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4.2	1.18E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G19170	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G25130	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4	2.18E-27		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G54585	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4	1.37E-16		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G54870	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4	7.56E-09		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G62950	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-4	7.13E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G73330	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G80440	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	3.38E-83		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G15450	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	7.36E-80		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G70290	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	6.95E-78		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G15830	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	9.70E-32		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G25230	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	1.99E-28		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G56100	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	3.18E-23		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G35300	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	7.22E-19		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G04150	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	8.34E-11		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G02515	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.9	1.43E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G49360	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G23390	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.14E-69		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G19800	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.90E-60		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G53800	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.71E-34		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G42600	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	4.00E-26		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G41260	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	3.08E-18		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G49130	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.17E-16		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G27360	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	3.09E-15		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G36600	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.83E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G37700	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.8	1.02E-07		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G48360	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.7	2.73E-98		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G25200	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.7	2.42E-14		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G21490	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.7	3.54E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G45830	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.7	6.09E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G56220	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	6.07E-106		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G75380	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	4.15E-96		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G16240	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	9.48E-89		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G13830	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	5.94E-72		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G18300	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	1.05E-71		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G01530	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	1.97E-66		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G47240	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	7.65E-26		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G15340	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	1.87E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G61120	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	1.32E-07		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G23880	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	1.56E-07		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G15690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.6	3.73E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G16030	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	2.17E-106		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G33830	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	5.80E-104		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G25900	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	1.84E-52		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G30520	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	5.41E-35		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G29310	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	8.25E-27		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G32880	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	1.69E-23		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G47560	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	4.46E-16		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G59080	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	3.98E-12		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G26695	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	2.90E-11		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G14250	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	1.79E-09		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G18540	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	4.66E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G23110	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	1.86E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G45310	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	5.29E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G48290	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.5	5.38E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G20250	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	0		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G28330	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	1.45E-91		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G01330	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	1.71E-51		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G54260	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	7.89E-51		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G23080	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	3.28E-45		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G06690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	1.09E-27		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G27450	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	1.98E-21		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G11080	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	3.25E-18		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G06870	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	3.16E-16		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G61440	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	5.06E-16		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G66100	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	5.53E-09		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G05160	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.4	1.85E-07		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G39310	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	3.94E-114		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G19660	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	3.36E-108		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G16450	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	2.99E-103		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G01520	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	3.20E-82		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G26530	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	1.46E-62		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G26180	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	1.68E-43		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G03310	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 24 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-3.3	2.80E-32		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
