Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT1G48330	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	2.35E-05		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G02515	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	2.28E-04		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G65683	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.2	2.94E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G60590	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.2	7.58E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G25130	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.2	1.26E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G34610	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.2	6.43E-04		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G56550	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.2	0.001143113		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G04610	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	6.04E-18		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G15020	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	1.48E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G24890	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	6.02E-09		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
